Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
ATR,"AptarGroup, Inc.",Packaging & Containers,134.53,28.9063,4.7656,1.4478,3.21,45.7656,28.9063
ARCC,Ares Capital Corporation,Asset Management,20.12,16.9245,0.7689,1.6014,1.14,3.1792,16.9245
CPRI,Capri Holdings Limited,Apparel Manufacturing,58.39,14.3867,1.5467,0,-0.41,27.0667,14.3867
BFAM,Bright Horizons Family Solutions Inc.,Personal Services,145.53,21.4,6.8333,0,0.45,25.25,21.4
HRC,"Hill-Rom Holdings, Inc.",Medical Instruments & Supplies,132.9,25.7612,4.4328,0.8657,3.32,43,25.7612
FCNCA,"First Citizens BancShares, Inc.",Banks Regional,895.04,422.9,470.9384,3.0393,47.5,186.5,422.9
RL,Ralph Lauren Corporation,Apparel Manufacturing,118.31,35.1892,37.5405,0.673,-1.65,59.473,35.1892
PNW,Pinnacle West Capital Corporation,Utilities Regulated Electric,77.31,49.8584,0.5575,3.1025,4.87,31.7434,49.8584
AN,"AutoNation, Inc.",Auto & Truck Dealerships,110.58,36.7727,6.4773,0,4.3,231.7045,36.7727
CNXC,Concentrix Corporation,Information Technology Services,170.92,44.2692,3,0,3.19,90.7692,44.2692
AGNC,AGNC Investment Corp.,Reit Mortgage,16.54,20.0707,4.2101,1.7572,-0.66,0.6178,20.0707
QS,QuantumScape Corporation,Auto Parts,21.48,0.967,2.7418,0,-4.62,0,0.967
DCI,"Donaldson Company, Inc.",Specialty Industrial Machinery,68.69,7.7717,1.8661,0.8378,2,20.3307,7.7717
KNX,Knight-Swift Transportation Holdings Inc.,Trucking,51.86,34.5294,1.2059,0.3213,2.4,27.4941,34.5294
NYT,The New York Times Company,Publishing,50.74,7.9401,3.5689,0.2302,0.6,10.6826,7.9401
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Biotechnology,130.18,-6.6466,6.0685,0,-13.06,1.0833,-6.6466
ITT,ITT Inc.,Specialty Industrial Machinery,98.11,24.4368,9.8851,0.6782,0.83,28.4828,24.4368
WMS,"Advanced Drainage Systems, Inc.",Building Products & Equipment,118,15.1571,2.7857,0.4594,2.59,28.3286,15.1571
MRTX,"Mirati Therapeutics, Inc.",Biotechnology,163.22,30.2528,30.8974,0,-7.96,0.2978,30.2528
CAE,CAE Inc,Aerospace & Defense,28.59,9.1598,4.7418,0,-0.1348,8.6961,9.1598
GFI,Gold Fields Limited,Gold,9.5,4.1696,1.009,0,0.9226,4.9639,4.1696
LECO,"Lincoln Electric Holdings, Inc.",Tools & Accessories,140.36,13.15,4.2833,1.9686,3.42,44.2833,13.15
DRD,DRDGOLD Limited,Gold,9.76,0.3022,0.1283,0.0472,0.0472,0.313,0.3022
LSCC,Lattice Semiconductor Corporation,Semiconductors,61.18,2.843,1.3484,0,0.34,3.0182,2.843
MKSI,"MKS Instruments, Inc.",Scientific & Technical Instruments,150.28,42.9273,15.2,0.8,6.33,42.3636,42.9273
ASND,Ascendis Pharma A/S,Biotechnology,154.76,20.2701,17.3659,0,-9.44,0.1566,20.2701
HII,"Huntington Ingalls Industries, Inc.",Aerospace & Defense,206.99,46.3659,12.4878,4.1951,17.14,228.3171,46.3659
BAP,Credicorp Ltd.,Banks Regional,103.7,87.2911,141.7727,8.7826,1.25,55.6329,87.2911
AA,Alcoa Corp.,Aluminum,44.13,17.8011,8.7688,1.1129,-0.91,50.3871,17.8011
WEX,WEX Inc.,Software Infrastructure,184.18,43.2955,30.2273,0,-5.56,35.4545,43.2955
CBSH,"Commerce Bancshares, Inc.",Banks Regional,70.92,29.2845,26.4676,1.0415,2.91,11.681,29.2845
PSXP,Phillips 66 Partners LP,Oil & Gas Midstream,36.06,13.557,0.0307,3.6447,3.27,4.5526,13.557
NNN,National Retail Properties,Reit Retail,47.12,25.0945,1.5513,2.0708,1.22,3.8387,25.0945
WES,"Western Midstream Partners, LP",Oil & Gas Midstream,19.88,6.3326,1.0206,1.6313,1.18,5.8463,6.3326
GMED,"Globus Medical, Inc.",Medical Devices,81.63,15.2769,4.3315,0,1.01,8.0041,15.2769
REXR,"Rexford Industrial Realty, Inc.",Reit Industrial,60.8,26.8462,1.4726,0.8215,0.51,2.5418,26.8462
ERIE,Erie Indemnity Company,Insurance Brokers,174.88,25.7192,3.8752,5.9081,6.3,54.9128,25.7192
SLOIF,Soitec SA,Other,244,23.89,22.9712,0,2.5677,20.6303,23.89
FSV,FirstService Corporation,Real Estate Services,184.74,15.3518,4.8556,0.7566,2.1272,67.8873,15.3518
CHDN,"Churchill Downs, Incorporated",Gambling,209.6,9.175,3.025,0.585,-2.07,26.35,9.175
OSK,Oshkosh Corporation,Farm & Heavy Construction Machinery,117.52,41.9265,8.5735,1.2029,4.72,100.8382,41.9265
OLN,Olin Corporation,Specialty Chemicals,50.64,9.1835,1.2025,0.7994,-6.14,36.443,9.1835
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,18.68,0.948,1.0903,0,-0.18,0.0358,0.948
RGA,"Reinsurance Group of America, Incorporated",Insurance Reinsurance,118.72,220.8,52.4308,2.8,6.31,224.4923,220.8
VNO,Vornado Realty Trust,Reit Office,41.9,34.1781,9.0507,4.3282,-1.83,7.9936,34.1781
BC,Brunswick Corporation,Leisure,102.84,19.1139,7.4304,0.9911,4.68,55.038,19.1139
THC,Tenet Healthcare Corporation,Medical Care Facilities,74.99,0.2667,23.2952,2.7333,3.75,168,0.2667
TOL,Toll Brothers Inc.,Residential Construction,64.44,37.5,10.5462,0.4353,3.4,54.4462,37.5
PSO,"Pearson, PLC",Publishing,10.58,7.4578,2.0159,0.25,0.5597,6.1416,7.4578
SKX,"Skechers U.S.A., Inc.",Footwear & Accessories,50.93,17.6991,9.5558,0,0.64,29.8506,17.6991
VOYA,"Voya Financial, Inc.",Financial Conglomerates,65.58,79.3564,13.5243,0.5965,-1.24,60.0392,79.3564
OMF,"OneMain Holdings, Inc.",Credit Services,59.18,25.4889,20.1704,5.9704,5.41,36.5407,25.4889
JAZZ,Jazz Pharmaceuticals PLC,Biotechnology,133.15,65.3571,38.0893,0,4.22,42.2143,65.3571
ORI,Old Republic International Corporation,Insurance Diversified,26.3,20.7617,0.3983,0.8393,1.87,24.047,20.7617
DNB,"Dun & Bradstreet Holdings, Inc.",Information Technology Services,18.37,9.5886,0.9673,0.1747,-0.48,4.7357,9.5886
FAF,First American Financial Corporation,Insurance Specialty,70.95,43.4513,11.2873,1.7581,6.16,62.6637,43.4513
CIB,BanColombia S.A.,Banks Regional,32.74,66.1534,55.7674,3.6608,0.31,51.0432,66.1534
XLRN,Acceleron Pharma Inc.,Biotechnology,129.52,15.0547,14.9631,0,-2.92,1.6289,15.0547
WWD,"Woodward, Inc.",Aerospace & Defense,123.35,32.1452,2.4677,0.6075,3.74,40.2581,32.1452
AZUL,AZUL SA,Airlines,22.63,-7.9652,1.7772,0,-6.0974,3.2336,-7.9652
AIRC,Apartment Income REIT Corp.,Reit Residential,50.63,10.7131,0.5984,4.6089,-0.85,5.9016,10.7131
ALV,"Autoliv, Inc.",Auto Parts,89.74,27.6897,13.5402,0.6368,2.14,85.5977,27.6897
OHI,"Omega Healthcare Investors, Inc.",Reit Healthcare Facilities,33.04,16.87,0.7377,2.6886,0.68,3.8542,16.87
NLSN,Nielsen Holdings Plc,Consulting Services,21.67,5.7451,1.7087,0.2409,-0.02,17.619,5.7451
BSMX,Grupo Financiero Santander Mexico S.A. B. de C.V.,Banks Regional,5.77,1.1406,0.4917,0,0.1407,0.6932,1.1406
MIXT,MiX Telematics Limited,Software Application,14.02,0.2329,0.0851,0.0098,0.0297,0.2558,0.2329
APPN,Appian Corporation,Software Infrastructure,108.96,4.2955,3.2192,0,-0.48,4.4109,4.2955
PVH,PVH Corp.,Apparel Manufacturing,108.87,66.6197,23.2535,0.038,-15.96,100.4648,66.6197
KRC,Kilroy Realty Corporation,Reit Office,66.01,44.4184,7.2677,1.9832,1.63,7.9335,44.4184
MAT,"Mattel, Inc.",Leisure,22.02,1.7176,2.196,0,0.36,13.2104,1.7176
MBT,Mobile TeleSystems PJSC,Telecom Services,9.01,0.2188,1.0124,0.5875,0.4679,3.7726,0.2188
EHC,Encompass Health Corporation,Medical Care Facilities,77.54,19.899,2.9232,1.1303,2.85,46.9091,19.899
TTEK,"Tetra Tech, Inc.",Engineering & Construction,141.74,19.2037,2.9259,0.6434,3.16,55.463,19.2037
BYND,"Beyond Meat, Inc.",Packaged Foods,121.5,5.8933,2.5546,0,-0.85,6.5305,5.8933
BJ,"BJ's Wholesale Club Holdings, Inc.",Discount Stores,56.59,2.3456,0.3235,0.0002,3.03,113.4559,2.3456
GIL,"Gildan Activewear, Inc.",Apparel Manufacturing,38.64,7.8732,2.5518,0.1543,-1.1931,10.5371,7.8732
SF,Stifel Financial Corporation,Capital Markets,70.78,39.9906,23.1321,0.4387,4.16,36.1038,39.9906
NTNX,Nutanix Inc.,Software Infrastructure,36.77,-1.4103,3.6923,0,-4.48,6.7077,-1.4103
KGC,Kinross Gold Corporation,Gold,6.05,5.2478,0.9741,0.0601,1.1224,3.5287,5.2478
RNR,RenaissanceRe Holdings Ltd.,Insurance Reinsurance,158.88,160.8511,36.9535,1.4572,15.31,109.6809,160.8511
USFD,US Foods Holding Corp.,Food Distribution,34.35,18.4045,3.7636,0,-1.15,104.0227,18.4045
H,Hyatt Hotels Corporation,Lodging,74.55,31.7921,18.7426,0.198,-6.94,20.4554,31.7921
BEPC,Brookfield Renewable Corporation,Utilities Renewable,43.91,6.843,2.9593,0,-15.9,17.9477,6.843
CASY,"Casey's General Stores, Inc.",Grocery Stores,203.63,52.2432,9.1081,1.2965,8.38,235.3243,52.2432
PII,Polaris Inc.,Recreational Vehicles,123.07,18.4645,10.2371,2.4597,1.99,113.3548,18.4645
CFX,Colfax Corporation,Specialty Industrial Machinery,48.75,25.8613,0.7372,0,0.31,22.4161,25.8613
CHE,Chemed Corporation,Medical Care Facilities,473.68,56.3125,10.1875,1.3174,19.48,130,56.3125
GNTX,Gentex Corporation,Auto Parts,31.36,8.0821,1.8541,0.4822,1.41,6.9465,8.0821
X,United States Steel Corporation,Steel,27.62,19.2183,10.0914,0.0406,-5.92,49.4467,19.2183
RLX,RLX Technology Inc. Sponsored ADR,Tobacco,5.38,0.1472,0.3338,0,-0.01,0.3523,0.1472
RXN,Rexnord Corporation,Specialty Industrial Machinery,61.87,11.7054,5.1161,0.0875,1.33,18.4643,11.7054
DAVA,Endava PLC Sponsored ADR,Software Infrastructure,134.02,5.4659,2.357,0,0.5,8.2452,5.4659
STVN,Stevanato Group S.p.A.,Other,25.15,1.2889,0.6512,0,0.3,2.5598,1.2889
BBIO,"BridgeBio Pharma, Inc.",Biotechnology,50.48,0.4907,5.1451,0,-3.8,0.0699,0.4907
PNFP,"Pinnacle Financial Partners, Inc.",Banks Regional,98,65.4,52.8193,0.6585,4.03,14.0933,65.4
SWAV,"ShockWave Medical, Inc.",Medical Devices,210.94,6.8198,6.1156,0,-1.99,2.0487,6.8198
CFR,"Cullen/Frost Bankers, Inc.",Banks Regional,116.13,68.1429,163.7033,2.8664,5.09,22.6984,68.1429
RGLD,"Royal Gold, Inc.",Gold,112.58,38.0036,3.4479,1.161,4.61,9.3957,38.0036
STWD,"STARWOOD PROPERTY TRUST, INC.",Reit Mortgage,25.9,15.9184,2.5603,1.9393,1.16,4.0319,15.9184
JHG,Janus Henderson Group plc,Asset Management,43.98,26.3464,8.8883,1.4687,0.87,13.162,26.3464
AXTA,Axalta Coating Systems Ltd.,Specialty Chemicals,31.3,6.0979,5.8043,0.0038,0.52,15.9064,6.0979
COTY,Coty Inc.,Household & Personal Products,9.51,4.0039,0.4059,0.002,-1.33,6.0537,4.0039
ALK,"Alaska Air Group, Inc.",Airlines,58.22,24.2041,27.1041,0.3645,-10.59,28.8862,24.2041
DOOO,BRP Inc.,Recreational Vehicles,85.51,-4.2565,11.7831,0.0816,3.2452,52.8994,-4.2565
BLD,TopBuild Corp.,Engineering & Construction,221.06,40.8788,10,0,7.42,82.3636,40.8788
PAG,"Penske Automotive Group, Inc.",Auto & Truck Dealerships,89.61,40.7778,0.6173,0.8407,6.74,252.3951,40.7778
WK,Workiva Inc.,Software Application,142.11,1.3267,10.9403,0,-1,7.2571,1.3267
AMG,"Affiliated Managers Group, Inc.",Asset Management,174.31,71.3398,22.3591,0.3613,4.34,43.6022,71.3398
IAA,"IAA, Inc.",Specialty Business Services,53.45,0.5175,1.736,0,1.45,10.3274,0.5175
FYBR,"Frontier Communications Parent, Inc.",Telecom Services,29.52,-47.1154,18.1442,0,-3.85,68.7981,-47.1154
BYD,Boyd Gaming Corporation,Resorts & Casinos,63.24,9.8596,4.7018,0.0685,-1.19,19.1053,9.8596
SGMS,Scientific Games Corp,Gambling,74.94,-27.9263,11.9263,0,-5.99,28.6737,-27.9263
EEFT,"Euronet Worldwide, Inc.",Software Infrastructure,136.11,27.283,34.6226,0,-0.06,46.8491,27.283
SAM,"The Boston Beer Company, Inc.",Beverages Brewers,585.11,79.75,13.5833,0,15.53,145,79.75
AER,Aercap Holdings N.V.,Airports & Air Services,56.11,69.25,11.6797,0,-2.34,34.5313,69.25
M,"Macy's, Inc.",Department Stores,22.99,8.209,5.3987,0.3762,-12.68,58.1897,8.209
WF,Woori Bank,Banks Regional,29.82,102.2079,94.6667,1.9335,4.43,42.6127,102.2079
SLAB,"Silicon Laboratories, Inc.",Semiconductors,160.09,27.4129,16.562,0,0.28,20.2553,27.4129
POST,"Post Holdings, Inc.",Packaged Foods,112,41.3768,17.2899,0,0.01,82.5942,41.3768
FR,"First Industrial Realty Trust, Inc.",Reit Industrial,55.42,14.9008,1.566,0.9971,1.53,3.5219,14.9008
MFG,"Mizuho Financial Group, Inc.",Banks Regional,2.82,35.9104,326.0698,0.7061,1.6766,9.2818,35.9104
OGE,OGE Energy Corporation,Utilities Regulated Electric,35.57,18.16,0.005,1.5745,-0.87,10.61,18.16
OVV,Ovintiv Inc.,Oil & Gas E&P,27.18,14.7577,0.0385,0.3731,-23.47,21.4615,14.7577
APA,APA Corporation,Oil & Gas E&P,18.74,-4.336,0.6931,0.5661,-12.86,11.3968,-4.336
VRNS,"Varonis Systems, Inc.",Software Infrastructure,66.58,0.9972,3.1617,0,-1,3.1026,0.9972
CCJ,Cameco Corporation,Uranium,17.8,9.8275,1.8692,0.0596,-0.102,3.5679,9.8275
AU,AngloGold Ashanti Limited,Gold,16.83,8.8199,3.2749,0.1122,2.5499,11.8448,8.8199
LFUS,"Littelfuse, Inc.",Electronic Components,285.57,67.0417,28.6667,1.9516,5.29,60.25,67.0417
EGP,"EastGroup Properties, Inc.",Reit Industrial,175.2,32.4104,0,3.0564,2.76,9.3244,32.4104
PBCT,"People's United Financial, Inc.",Banks Regional,16.62,18.1024,10.1031,0.724,0.49,4.7143,18.1024
ACC,American Campus Communities Inc,Reit Residential,50.65,22.6326,0.5378,1.9342,0.51,6.3274,22.6326
CHNG,Change Healthcare Inc.,Health Information Services,21.6,10.1388,0.3526,0,-0.35,9.6343,10.1388
FFIN,"First Financial Bankshares, Inc.",Banks Regional,48.84,11.8142,5.1332,0.4951,1.42,3.4479,11.8142
ZI,ZoomInfo Technologies Inc.,Software Application,63.19,2.8938,1.7374,0,-0.09,2.7396,2.8938
MNDY,monday.com Ltd.,Software Application,357.19,0.4109,3.6039,0,-3.92,4.1532,0.4109
BRX,Brixmor Property Group Inc.,Reit Retail,23.33,9.0269,1.2458,0.5737,0.41,3.5455,9.0269
PWSC,"PowerSchool Holdings, Inc.",Software Application,34.81,8.4374,0.2665,0,-0.23,2.1867,8.4374
ADT,ADT Inc.,Security & Protection Services,8.43,3.9162,0.268,0.1409,-0.81,6.8492,3.9162
TNDM,"Tandem Diabetes Care, Inc.",Medical Devices,110.31,6.006,7.9511,0,-0.56,8.1789,6.006
LZ,"LegalZoom.com, Inc.",Internet Content & Information,35.1,-2.4393,0.5821,0.0014,0.04,2.3931,-2.4393
RBA,Ritchie Bros. Auctioneers Incorporated,Specialty Business Services,62.63,9.2391,2.8157,0.8446,1.6405,13.3006,9.2391
GXP,Great Plains Energy Inc,Other,31.99,23.0385,5.2223,1.2622,-0.67,12.5671,23.0385
IQ,"iQIYI, Inc. Sponsored ADR",Internet Content & Information,8.66,1.8048,2.7883,0.0122,-0.19,5.4898,1.8048
MSTR,MicroStrategy Incorporated,Software Application,707.2,57.1045,6.299,0,-0.78,49.6422,57.1045
WH,Wyndham Hotels & Resorts Inc.,Lodging,73.54,10.3548,5.3011,0.5699,-1.41,13.9785,10.3548
SHC,Sotera Health Company,Diagnostics & Research,24.66,1.5958,0.3601,0,-0.14,2.8885,1.5958
NVST,Envista Holdings Corporation,Medical Instruments & Supplies,42.67,23.2563,5.5563,0,0.2,14.2625,23.2563
ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,66.07,4.5847,3.1323,0,-0.84,0.8736,4.5847
OMCL,"Omnicell, Inc.",Health Information Services,158.71,22.7321,11.413,0,0.74,20.9522,22.7321
COLM,Columbia Sportswear Company,Apparel Manufacturing,103.36,27.7727,12,0.2605,1.62,37.8939,27.7727
FATE,"Fate Therapeutics, Inc.",Biotechnology,72.64,4.6664,5.8617,0,-2.1,0.3815,4.6664
PLNT,"Planet Fitness, Inc.",Leisure,82.13,-8.7876,6.4231,0.0256,-0.19,5.0635,-8.7876
PPC,Pilgrim's Pride Corporation,Packaged Foods,28.01,10.4228,2.2276,0,0.39,49.1423,10.4228
PAA,"Plains All American Pipeline, L.P.",Oil & Gas Midstream,9.49,13.1772,0.0824,0.8997,-3.83,32.4052,13.1772
HBI,Hanesbrands Inc.,Apparel Manufacturing,19.41,2.3058,2.5763,0.596,-0.21,18.8782,2.3058
MTZ,"MasTec, Inc.",Engineering & Construction,93.28,27.4247,5.7945,0,4.38,86.589,27.4247
STAA,STAAR Surgical Company,Medical Instruments & Supplies,143.4,4.3246,3.3429,0,0.12,3.5843,4.3246
PSTG,"Pure Storage, Inc.",Computer Hardware,24.06,2.7985,4.6791,0,-1.05,6.2836,2.7985
AMKR,"Amkor Technology, Inc.",Semiconductors,27.62,9.6116,3.4421,0,1.4,20.8719,9.6116
WSC,WillScot Mobile Mini Holdings Corp.,Rental & Leasing Services,29.5,12.6686,0.1479,0,0.41,8.0947,12.6686
LEG,"Leggett & Platt, Incorporated","Furnishings, Fixtures & Appliances",49.44,10.2206,2.5662,1.5551,1.82,31.4779,10.2206
CHH,"Choice Hotels International, Inc.",Lodging,121.36,-0.1046,4.2687,0.4595,1.35,14.0727,-0.1046
AYI,Acuity Brands Inc,Electrical Equipment & Parts,188.01,53.2,14.025,0.52,6.27,83.15,53.2
EME,"EMCOR Group, Inc.",Engineering & Construction,124.1,37.3273,16.4364,0.3213,2.4,159.9455,37.3273
MRVI,"Maravai LifeSciences Holdings, Inc.",Biotechnology,59.57,0.9209,2.4419,1.0042,0.7,2.9396,0.9209
CYBR,CyberArk Software Ltd.,Software Infrastructure,168.79,18.3024,24.6707,0,-0.15,12.0229,18.3024
IIVI,II-VI Incorporated,Scientific & Technical Instruments,63.6,39.75,15.3077,0.1954,2.37,29.8654,39.75
MAN,ManpowerGroup Inc.,Staffing & Employment Services,121.35,42.0862,27.0172,2.2259,0.41,310.3621,42.0862
GTLS,"Chart Industries, Inc.",Specialty Industrial Machinery,187.19,44.9429,3.5714,0,8.45,33.6286,44.9429
TXRH,"Texas Roadhouse, Inc.",Restaurants,95.51,13.4493,5.2609,0.3622,0.45,34.7536,13.4493
KT,KT Corporation,Telecom Services,14,50.7802,8.6029,1.0141,2.4648,89.6619,50.7802
STAG,"Stag Industrial, Inc.",Reit Industrial,41.63,18.2538,0.1344,1.5074,1.32,3.2489,18.2538
OLO,Olo Inc.,Software Application,45.07,-2.6133,3.7723,0,,4.9011,-2.6133
VAC,Marriot Vacations Worldwide Corporation,Resorts & Casinos,154.63,64.6585,24.1951,1.0976,-6.66,70.3902,64.6585
BEAM,Beam Therapeutics Inc.,Biotechnology,106.58,5.2545,6.4124,0,-4.19,0.0005,5.2545
PB,"Prosperity Bancshares, Inc.",Banks Regional,71.19,65.9247,14.4468,1.8691,5.68,12.5591,65.9247
KEP,Korea Electric Power Corporation,Utilities Regulated Electric,10.3,99.1405,6.7983,0.1013,2.8491,83.7932,99.1405
BMBL,Bumble Inc.,Software Application,55.19,18.0678,1.1097,0,-1.26,5.0474,18.0678
SPT,"Sprout Social, Inc.",Software Application,123.05,2.9609,3.1903,0,-0.62,2.5881,2.9609
EXP,Eagle Materials Inc,Building Materials,157.16,32.3571,6.4048,0.0991,8.12,38.6429,32.3571
CGC,Canopy Growth Corporation,Drug Manufacturers Specialty & Generic,17.19,7.4314,4.9322,0,-3.7202,1.1667,7.4314
EXPI,"Exp World Holdings, Inc.",Real Estate Services,45.13,1.0186,0.9203,0,0.21,12.9353,1.0186
POWI,"Power Integrations, Inc.",Semiconductors,108.45,13.5845,7.5296,0.4204,1.17,8.1854,13.5845
EDR,"Endeavor Group Holdings, Inc.",Entertainment,25.15,0,0,0,2.4,0,0
SNX,SYNNEX Corporation,Information Technology Services,128.7,85.0784,30.7647,0.4075,10.21,483.8431,85.0784
RPD,"Rapid7, Inc.",Software Application,118.49,1.4017,6.1222,0,-1.94,8.0625,1.4017
AZEK,The AZEK Company Inc.,Building Products & Equipment,42.65,10.7959,1.7803,0,-1.01,7.4457,10.7959
PYCR,"Paycor HCM, Inc.",Other,37.66,5.4746,0.0747,0,-0.52,1.8837,5.4746
DSGX,The Descartes Systems Group Inc.,Software Application,77.58,10.7898,1.5851,0,0.649,4.3268,10.7898
IS,ironSource Ltd.,Software Application,9.94,0,0,0,-0.0002,0,0
LPX,Louisiana-Pacific Corporation,Building Products & Equipment,64.82,11.1171,4.8198,0.5856,4.46,25.1171,11.1171
SNV,Synovus Financial Corp.,Banks Regional,44.1,35.1088,28.9314,1.2923,2.3,13.6667,35.1088
SON,Sonoco Products Company,Packaging & Containers,65.26,18.8119,5.5941,1.7092,2.05,51.9208,18.8119
FOXF,Fox Factory Holding Corp.,Recreational Vehicles,155,17.8727,6.115,0,2.22,22.1371,17.8727
LITE,Lumentum Holdings Inc.,Communication Equipment,86.96,26.1645,25.809,0,1.75,23.1141,26.1645
MDU,"MDU Resources Group, Inc.",Building Materials,32.34,15.3184,0.2985,0.8279,1.95,27.5274,15.3184
VIR,"Vir Biotechnology, Inc.",Biotechnology,49.95,6.0159,6.2509,0,-2.51,0.6409,6.0159
HTA,"Healthcare Trust of America, Inc.",Reit Healthcare Facilities,29.69,14.5544,0.5457,1.2648,0.24,3.3707,14.5544
PFGC,Performance Food Group Company,Food Distribution,49.09,15.9432,0.084,0,-1.01,230.1204,15.9432
MEDP,"Medpace Holdings, Inc.",Diagnostics & Research,180.64,22.6182,7.8013,0,3.84,25.9836,22.6182
AVAL,Grupo Aval Acciones y Valores S.A.,Banks Regional,5.82,9.5435,12.1353,0.3582,0.59,9.6968,9.5435
FVRR,Fiverr International Lt.,Internet Content & Information,178.18,10.6858,15.0895,0,-0.46,5.8629,10.6858
KC,Kingsoft Cloud Holdings Limited Sponsored ADR,Software Application,28.89,7.8721,5.8416,0,-0.06,5.9536,7.8721
DNLI,Denali Therapeutics Inc.,Biotechnology,53.15,10.5621,13.4894,0,0.63,3.0802,10.5621
PHAR,Pharming Group N.V. Sponsored ADR,Biotechnology,10.55,0.2881,0.3238,0,0.0614,0.3581,0.2881
LSTR,"Landstar System, Inc.",Integrated Freight & Logistics,169.13,17.7394,7.4546,2.8078,4.98,105.9744,17.7394
ESLT,Elbit Systems Ltd.,Aerospace & Defense,145.8,50.3511,6.3628,1.7771,5.7517,113.244,50.3511
BB,BlackBerry Limited,Software Infrastructure,11.3,2.6834,1.3191,0,-2.0715,1.6785,2.6834
THO,"Thor Industries, Inc.",Recreational Vehicles,116.5,42.1818,9.8364,1.6058,4.03,148.5091,42.1818
BL,"BlackLine, Inc.",Software Infrastructure,110.05,7.4254,9.5545,0,-0.83,6.1891,7.4254
LPL,"LG Display Co., Ltd.",Consumer Electronics,8.95,29.2506,11.0476,0,-0.2293,62.165,29.2506
DOCN,"DigitalOcean Holdings, Inc.",Software Infrastructure,59.99,-1.7306,2.408,0,,7.6427,-1.7306
NXST,"Nexstar Media Group, Inc",Broadcasting,148.64,55.9556,3.7556,2.2453,17.37,100.0222,55.9556
SYNA,Synaptics Incorporated,Semiconductors,181.52,27.6286,23.8857,0,2.08,38.2857,27.6286
XEC,Cimarex Energy Co,Oil & Gas E&P,63.75,15.9,2.73,0.9298,-19.73,15.59,15.9
CAR,"Avis Budget Group, Inc.",Rental & Leasing Services,91,-2.1986,9.8298,0,-9.71,76.6241,-2.1986
GLBE,Global-e Online Ltd.,Internet Retail,72.78,-2.1075,4.3544,0,,6.4571,-2.1075
RARE,Ultragenyx Pharmaceutical Inc.,Biotechnology,93.95,18.966,19.9193,0,-3.07,4.4544,18.966
YOU,"CLEAR Secure, Inc.",Software Application,48.23,0.5611,1.0495,0,-0.06,1.5725,0.5611
SAIA,"Saia, Inc.",Trucking,240.4,36.9615,0.9615,0,5.2,70.0769,36.9615
SQSP,"Squarespace, Inc.",Software Infrastructure,45.64,-3.9155,0.7007,2.4085,-1.86,4.5647,-3.9155
BPOP,"Popular, Inc.",Banks Regional,77.32,70.1047,141.4956,1.554,5.87,27.4535,70.1047
BRKS,"Brooks Automation, Inc.",Semiconductor Equipment & Materials,84.7,16.5042,4.0649,0.4012,0.88,12.1983,16.5042
SRCL,"Stericycle, Inc.",Waste Management,68.54,26.413,0.5761,0,-0.63,29.087,26.413
COMP,"Compass, Inc.",Software Application,15.93,1.5838,1.1168,0,-0.69,9.4442,1.5838
SRPT,"Sarepta Therapeutics, Inc.",Biotechnology,78.69,9.7747,24.873,0,-7.11,6.9283,9.7747
SPCE,"Virgin Galactic Holdings, Inc.",Aerospace & Defense,26.05,3.0237,3.0987,0,-1.25,0.0011,3.0237
MGP,MGM Growth Properties LLC,Reit Diversified,40.62,20.3875,4.8343,4.6468,0.59,6.1209,20.3875
NFE,New Fortress Energy LLC,Utilities Regulated Gas,30.98,3.441,5.7569,0.3164,-1.71,4.2347,3.441
MSA,MSA Safety Incorporporated,Security & Protection Services,159.88,20.8279,6.0603,1.7122,3.09,34.6721,20.8279
COG,Cabot Oil & Gas Corporation,Oil & Gas E&P,15.63,5.5539,0.381,0.3995,0.5,3.5213,5.5539
JCOM,"j2 Global, Inc.",Software Infrastructure,139.79,26.3261,5.2826,0,3.18,32.3913,26.3261
CRCT,"Cricut, Inc.",Computer Hardware,29.93,1.1,0.5872,0.246,,4.6081,1.1
PHI,PLDT Inc.,Telecom Services,28.81,11.089,4.6665,1.5637,2.327,17.3918,11.089
RBC,Regal Beloit Corporation,Specialty Industrial Machinery,152.88,62.0488,14.9024,1.1878,4.64,70.9024,62.0488
VMEO,"Vimeo, Inc.",Other,37.81,0.5974,0.7726,0,-0.36,1.9885,0.5974
CEA,China Eastern Airlines Corporation Ltd.,Airlines,18.77,0.5251,0.0724,0.0072,-0.1045,0.5196,0.5251
ARD,Ardagh Group S.A.,Packaging & Containers,26.24,-1.5339,5.3686,0.589,0.15,28.5212,-1.5339
COHR,"Coherent, Inc.",Scientific & Technical Instruments,253.33,38.625,19.8333,0,-17.18,51.2083,38.625
FIGS,"FIGS, Inc.",Apparel Manufacturing,39.45,0.637,0.3791,0,,1.716,0.637
IART,Integra LifeSciences Holdings Corporation,Medical Devices,73.05,17.8235,5.5294,0,1.57,16.1412,17.8235
CACI,"CACI International, Inc.",Information Technology Services,257.74,106.6,3.52,0,18.3,241.76,106.6
