Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
AMT,American Tower Corporation,Reit Specialty,285.5,9.2207,4.1914,4.3428,3.79,18.1126,9.2207
RTX,Raytheon Technologies Corporation,Aerospace & Defense,85.4,53.1392,6.4816,2.0118,-2.59,41.7297,53.1392
SONY,Sony Corporation,Consumer Electronics,103.25,40.9143,34.41,0.4684,8.5949,66.8225,40.9143
AMGN,Amgen Inc.,Drug Manufacturers General,222.78,16.0563,18.1689,6.4078,12.31,43.0819,16.0563
NOW,"ServiceNow, Inc.",Software Application,632.4,14.6839,16.0363,0,0.59,23.4145,14.6839
IBM,International Business Machines Corporation,Information Technology Services,139.41,23.1336,16.033,6.5109,6.28,82.6867,23.1336
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,136.55,11.548,6.2642,0.8592,3.92,18.7773,11.548
EL,The Estee Lauder Companies Inc.,Household & Personal Products,340.82,19.1458,13.6622,0,1.86,44.6817,19.1458
CX,Cemex S.A.B. de C.V.,Building Materials,8.25,0.5498,0.0647,0,-0.1076,0.9529,0.5498
ISRG,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,1036.52,83.1795,43.6838,0,8.82,37.2479,83.1795
BUD,Anheuser-Busch InBev SA/NV,Beverages Brewers,61.39,34.1463,7.8548,0.9009,0.7608,25.2584,34.1463
TGT,Target Corporation,Discount Stores,249.18,28.8224,16.988,2.6806,8.64,186.7485,28.8224
RIO,Rio Tinto PLC,Other Industrial Metals & Mining,75.83,29.0584,8.0642,3.7922,6.4292,29.3665,29.0584
RYAAY,Ryanair Holdings PLC,Airlines,108.36,4.9085,3.3273,0,-1.0669,1.7281,4.9085
SQ,"Square, Inc.",Software Infrastructure,268.01,6.0542,8.7652,0,0.44,21.4402,6.0542
TD,Toronto Dominion Bank (The),Banks Diversified,66.07,39.7424,223.2589,2.0761,4.8353,18.1635,39.7424
KOF,Coca Cola Femsa S.A.B. de C.V.,Beverages Non Alcoholic,56.87,2.7957,1.0423,0.2461,0.2468,4.3923,2.7957
JD,"JD.com, Inc.",Internet Retail,76.43,9.49,7.6458,0,2.3693,35.7672,9.49
PDD,Pinduoduo Inc. Sponsored ADR,Internet Retail,94.63,7.719,17.8817,0,-0.92,7.2307,7.719
DE,Deere & Company,Farm & Heavy Construction Machinery,379.49,41.2006,24.5446,3.0446,8.69,113.1752,41.2006
TTE,TotalEnergies SE Sponsored ADR,Oil & Gas Integrated,44.58,39.9718,13.7938,2.5703,-2.9942,49.5225,39.9718
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery,212.83,28.182,17.2169,4.1232,5.46,76.739,28.182
GE,General Electric Company,Specialty Industrial Machinery,106.09,32.4973,40.1728,0.5923,4.63,73.0283,32.4973
IX,Orix Corp Ads,Credit Services,93.55,110.4913,59.0922,3.6161,7.34,87.1191,110.4913
MMM,3M Company,Specialty Industrial Machinery,195.05,22.2612,8.7163,5.8616,9.25,55.6817,22.2612
SNAP,Snap Inc.,Internet Content & Information,73.12,1.6003,1.7431,0,-0.65,1.7218,1.6003
CVS,CVS Health Corporation,Healthcare Plans,83.71,53.0092,8.2918,2.0046,5.46,205.2361,53.0092
PUK,Prudential Public Limited Company,Insurance Life,42.25,8.0276,3.0874,0.3134,0.8736,22.9422,8.0276
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,438.4,2.112,17.1411,3.4813,9.66,30.8797,2.112
SYK,Stryker Corporation,Medical Devices,273.42,34.7979,8.0426,2.2952,4.2,38.1676,34.7979
INFY,Infosys Limited,Information Technology Services,23.73,2.4755,0.8721,0.2897,0.62,3.1965,2.4755
LMT,Lockheed Martin Corporation,Aerospace & Defense,361.99,21.4821,11.2857,9.8714,24.3,233.5643,21.4821
ZM,"Zoom Video Communications, Inc.",Software Application,340.81,13.5951,15.1232,0,2.25,9.3345,13.5951
VALE,VALE S.A.,Other Industrial Metals & Mining,19.44,6.9725,2.7806,0.6558,1.0031,7.8261,6.9725
PLD,"Prologis, Inc.",Reit Industrial,131.31,42.6862,0.7984,2.3004,1.95,5.9266,42.6862
ZTS,Zoetis Inc.,Drug Manufacturers Specialty & Generic,203.82,7.9181,7.5714,0.7983,3.42,14.0231,7.9181
BKNG,Booking Holdings Inc.,Travel Services,2305.47,119.3415,270.3171,0,1.43,165.7561,119.3415
ABNB,"Airbnb, Inc.",Internet Content & Information,154.18,4.8447,10.7262,0,-7.65,5.6394,4.8447
MELI,"MercadoLibre, Inc.",Internet Retail,1865,33.04,75,0,-0.01,79.46,33.04
MO,"Altria Group, Inc.",Tobacco,49.53,1.528,2.662,3.3854,2.4,11.2169,1.528
ANTM,"Anthem, Inc.",Healthcare Plans,372.67,132.2669,122.4422,3.8008,17.98,485.5259,132.2669
TEAM,Atlassian Corporation PLC,Software Application,358.34,1.18,4.928,0,-2.79,8.356,1.18
BX,Blackstone Inc.,Asset Management,124.22,9.5438,2.9613,4.4951,1.5,9.2898,9.5438
